Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,SYN,ACK,FIN,RST,Packets/Time,Time Between Packets,target
TCP,TCP,192.168.1.4,192.168.1.3,51474,80,60,1,0,0,0,0.018,7.377,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51474,80,60,1,0,0,0,0.037,0.004,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51475,80,60,1,0,0,0,0.055,0.004,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51475,80,60,1,0,0,0,0.074,0.005,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51476,80,60,1,0,0,0,0.092,0.002,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51476,80,60,1,0,0,0,0.111,0.003,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51477,80,60,1,0,0,0,0.129,0.004,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51477,80,60,1,0,0,0,0.148,0.004,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51478,80,60,1,0,0,0,0.166,0.004,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51478,80,60,1,0,0,0,0.185,0.003,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51479,80,60,1,0,0,0,0.203,0.004,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51479,80,60,1,0,0,0,0.222,0.004,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51480,80,60,1,0,0,0,0.240,0.003,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51480,80,60,1,0,0,0,0.258,0.003,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51481,80,60,1,0,0,0,0.277,0.002,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51481,80,60,1,0,0,0,0.295,0.003,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51482,80,60,1,0,0,0,0.314,0.003,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51482,80,60,1,0,0,0,0.332,0.004,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51483,80,60,1,0,0,0,0.351,0.005,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51483,80,60,1,0,0,0,0.369,0.004,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51484,80,60,1,0,0,0,0.387,0.005,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51484,80,60,1,0,0,0,0.406,0.005,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51485,80,60,1,0,0,0,0.424,0.002,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51485,80,60,1,0,0,0,0.443,0.003,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51486,80,60,1,0,0,0,0.461,0.003,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51486,80,60,1,0,0,0,0.480,0.003,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51487,80,60,1,0,0,0,0.498,0.003,192.168.1.4
TCP,TCP,192.168.1.4,192.168.1.3,51487,80,60,1,0,0,0,0.516,0.005,192.168.1.4
