Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,SYN,ACK,FIN,RST,Packets/Time,Time Between Packets,target
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,418,0,0,0,0,0.408,1700670600.204,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,418,0,0,0,0,0.816,0.003,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,947,0,0,0,0,1.223,0.003,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,947,0,0,0,0,1.628,0.003,192.168.1.3
RTCP,UDP,142.250.82.4,192.168.1.3,3478,49784,110,0,0,0,0,2.034,0.001,142.250.82.4
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,371,0,0,0,0,2.438,0.003,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,371,0,0,0,0,2.843,0.002,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,737,0,0,0,0,3.246,0.002,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,737,0,0,0,0,3.649,0.002,192.168.1.3
RTCP,UDP,142.250.82.4,192.168.1.3,3478,49784,106,0,0,0,0,4.051,0.002,142.250.82.4
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1252,0,0,0,0,4.451,0.003,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1252,0,0,0,0,4.851,0.002,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1096,0,0,0,0,5.248,0.003,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1096,0,0,0,0,5.648,0.002,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1097,0,0,0,0,6.046,0.002,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1097,0,0,0,0,6.442,0.003,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,306,0,0,0,0,6.839,0.002,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,306,0,0,0,0,7.235,0.002,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,815,0,0,0,0,7.628,0.003,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,815,0,0,0,0,8.023,0.002,192.168.1.3
TLS,TCP,20.211.142.183,192.168.1.3,443,49970,105,0,1,0,0,8.414,0.003,20.211.142.183
TLS,TCP,192.168.1.3,20.211.142.183,49970,443,141,0,1,0,0,8.804,0.003,192.168.1.3
TCP,TCP,192.168.1.3,20.211.142.183,49970,443,141,0,1,0,0,9.197,0.002,192.168.1.3
TLS,TCP,192.168.1.3,20.211.142.183,49970,443,706,0,1,0,0,9.582,0.004,192.168.1.3
TCP,TCP,192.168.1.3,20.211.142.183,49970,443,706,0,1,0,0,9.974,0.002,192.168.1.3
TLS,TCP,20.211.142.183,192.168.1.3,443,49970,123,0,1,0,0,10.360,0.003,20.211.142.183
TLS,TCP,192.168.1.3,20.211.142.183,49970,443,92,0,1,0,0,10.750,0.002,192.168.1.3
TCP,TCP,192.168.1.3,20.211.142.183,49970,443,92,0,1,0,0,11.139,0.002,192.168.1.3
RTCP,UDP,142.250.82.4,192.168.1.3,3478,49784,110,0,0,0,0,11.533,0.001,142.250.82.4
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,429,0,0,0,0,11.921,0.002,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,429,0,0,0,0,12.308,0.002,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,926,0,0,0,0,12.685,0.004,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,926,0,0,0,0,13.066,0.003,192.168.1.3
RTCP,UDP,142.250.82.4,192.168.1.3,3478,49784,106,0,0,0,0,13.457,0.001,142.250.82.4
DATA,UDP,192.168.1.3,142.250.205.234,65179,443,71,0,0,0,0,13.842,0.002,192.168.1.3
DATA,UDP,192.168.1.3,142.250.205.234,65179,443,71,0,0,0,0,14.231,0.001,192.168.1.3
DATA,UDP,142.250.205.234,192.168.1.3,443,65179,67,0,0,0,0,14.621,0.001,142.250.205.234
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,485,0,0,0,0,15.005,0.002,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,485,0,0,0,0,15.381,0.003,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1033,0,0,0,0,15.763,0.002,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1033,0,0,0,0,16.138,0.003,192.168.1.3
_WS.MALFORMED,UDP,142.250.82.4,192.168.1.3,3478,49784,106,0,0,0,0,16.526,0.001,142.250.82.4
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1244,0,0,0,0,16.906,0.002,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1244,0,0,0,0,17.278,0.003,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1003,0,0,0,0,17.657,0.002,192.168.1.3
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1003,0,0,0,0,18.033,0.002,192.168.1.3
