Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,SYN,ACK,FIN,RST,Packets/Time,Time Between Packets,target
TCP,TCP,192.168.1.4,192.168.1.3,56227,80,60,1,0,0,0,113.866,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,884,0,0,0,0,197.835,0.003,Normal
TCP,TCP,192.168.1.4,192.168.1.3,56059,80,60,1,0,0,0,111.19,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,86,0,0,0,0,201.786,0.002,Normal
RTCP,UDP,192.168.1.3,142.250.82.4,49784,3478,90,0,0,0,0,193.454,0.001,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,768,0,0,0,0,207.83,0.003,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55834,80,60,1,0,0,0,107.623,0.005,Attack
TCP,TCP,192.168.1.4,192.168.1.3,54943,80,60,1,0,0,0,91.926,0.004,Attack
TCP,TCP,192.168.1.4,192.168.1.3,55906,80,60,1,0,0,0,108.81,0.004,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,991,0,0,0,0,139.12,0.003,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55101,80,60,1,0,0,0,94.953,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,53723,80,60,1,0,0,0,66.356,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1047,0,0,0,0,197.342,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,946,0,0,0,0,179.929,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,422,0,0,0,0,169.339,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,54227,80,60,1,0,0,0,77.603,0.002,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1002,0,0,0,0,212.195,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55826,80,60,1,0,0,0,107.496,0.004,Attack
TCP,TCP,192.168.1.4,192.168.1.3,53163,80,60,1,0,0,0,52.591,0.004,Attack
TCP,TCP,192.168.1.4,192.168.1.3,55004,80,60,1,0,0,0,93.099,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,86,0,0,0,0,201.797,0.002,Normal
RTCP,UDP,142.250.82.4,192.168.1.3,3478,49784,110,0,0,0,0,213.477,0.001,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,343,0,0,0,0,187.521,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,52307,80,60,1,0,0,0,28.256,0.004,Attack
TCP,TCP,192.168.1.4,192.168.1.3,55800,80,60,1,0,0,0,107.069,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,54513,80,60,1,0,0,0,83.522,0.002,Attack
RTCP,UDP,192.168.1.3,142.250.82.4,49784,3478,106,0,0,0,0,174.869,0.001,Normal
TCP,TCP,192.168.1.4,192.168.1.3,51985,80,60,1,0,0,0,18.013,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,723,0,0,0,0,157.392,0.003,Normal
TCP,TCP,192.168.1.4,192.168.1.3,56027,80,60,1,0,0,0,110.717,0.004,Attack
DATA,UDP,192.168.1.3,172.217.163.206,55405,443,1285,0,0,0,0,195.093,0.003,Normal
TCP,TCP,192.168.1.4,192.168.1.3,52761,80,60,1,0,0,0,41.781,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,55634,80,60,1,0,0,0,104.293,0.003,Attack
STUN,UDP,192.168.1.3,142.250.82.4,49784,3478,162,0,0,0,0,157.669,0.001,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1045,0,0,0,0,211.503,0.003,Normal
DATA,UDP,192.168.1.3,142.250.193.110,61888,443,71,0,0,0,0,211.099,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,52956,80,60,1,0,0,0,47.092,0.003,Attack
RTCP,UDP,192.168.1.3,142.250.82.4,49784,3478,106,0,0,0,0,168.015,0.002,Normal
QUIC,UDP,192.168.1.3,8.8.8.8,55296,443,254,0,0,0,0,182.898,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,595,0,0,0,0,194.557,0.001,Normal
TCP,TCP,192.168.1.4,192.168.1.3,53166,80,60,1,0,0,0,52.653,0.005,Attack
RTCP,UDP,142.250.82.4,192.168.1.3,3478,49784,110,0,0,0,0,201.577,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,922,0,0,0,0,198.991,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55761,80,60,1,0,0,0,106.419,0.004,Attack
TCP,TCP,192.168.1.4,192.168.1.3,53102,80,60,1,0,0,0,50.926,0.004,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,390,0,0,0,0,148.139,0.002,Normal
DATA,UDP,192.168.1.3,172.217.163.206,55405,443,75,0,0,0,0,192.909,0.001,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55616,80,60,1,0,0,0,103.974,0.003,Attack
TCP,TCP,192.168.1.4,192.168.1.3,54711,80,60,1,0,0,0,87.491,0.002,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,86,0,0,0,0,212.477,0.001,Normal
TCP,TCP,192.168.1.4,192.168.1.3,51620,80,60,1,0,0,0,5.43,0.002,Attack
TCP,TCP,192.168.1.4,192.168.1.3,54746,80,60,1,0,0,0,88.184,0.006,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,676,0,0,0,0,197.431,0.002,Normal
RTCP,UDP,192.168.1.3,142.250.82.4,49784,3478,114,0,0,0,0,212.001,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,52285,80,60,1,0,0,0,27.587,0.005,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,806,0,0,0,0,113.631,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,890,0,0,0,0,173.912,0.003,Normal
TCP,TCP,192.168.1.4,192.168.1.3,53860,80,60,1,0,0,0,69.486,0.005,Attack
TCP,TCP,192.168.1.4,192.168.1.3,54853,80,60,1,0,0,0,90.265,0.002,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,86,0,0,0,0,210.911,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55603,80,60,1,0,0,0,103.747,0.004,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,697,0,0,0,0,167.957,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,52385,80,60,1,0,0,0,30.619,0.003,Attack
RTCP,UDP,142.250.82.4,192.168.1.3,3478,49784,110,0,0,0,0,193.564,0.001,Normal
TCP,TCP,192.168.1.4,192.168.1.3,51901,80,60,1,0,0,0,15.139,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,957,0,0,0,0,212.252,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,52536,80,60,1,0,0,0,35.23,0.002,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1136,0,0,0,0,200.302,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,53848,80,60,1,0,0,0,69.212,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,703,0,0,0,0,170.515,0.003,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,424,0,0,0,0,193.954,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55627,80,60,1,0,0,0,104.177,0.004,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,774,0,0,0,0,170.849,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,703,0,0,0,0,169.636,0.003,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,923,0,0,0,0,65.132,0.003,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,1126,0,0,0,0,200.027,0.003,Normal
TCP,TCP,192.168.1.3,192.168.1.9,47622,8009,54,0,1,0,0,131.285,0.002,Normal
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,86,0,0,0,0,197.939,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,52468,80,60,1,0,0,0,33.227,0.002,Attack
TCP,TCP,192.168.1.4,192.168.1.3,53289,80,60,1,0,0,0,55.79,0.002,Attack
TCP,TCP,192.168.1.4,192.168.1.3,53980,80,60,1,0,0,0,72.161,0.003,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,750,0,0,0,0,170.948,0.002,Normal
TCP,TCP,192.168.1.4,192.168.1.3,54220,80,60,1,0,0,0,77.447,0.002,Attack
DATA,UDP,192.168.1.3,142.250.82.4,49784,3478,86,0,0,0,0,206.974,0.003,Normal
TCP,TCP,192.168.1.4,192.168.1.3,55668,80,60,1,0,0,0,104.89,0.004,Attack
